question,category,sub_intent
학교법인 을지학원의 설립 목적이 뭐야?,학칙/규정 일반,
을지대학교 정관은 어떻게 변경해?,학칙/규정 일반,
이사회 구성은 어떻게 돼?,학칙/규정 일반,
이사 정수가 몇 명이야?,학칙/규정 일반,
감사는 몇 명이야?,학칙/규정 일반,
이사장 선출 방법 알려줘,학칙/규정 일반,
이사의 임기가 어떻게 돼?,학칙/규정 일반,
감사의 임기는?,학칙/규정 일반,
개방이사가 뭐야?,학칙/규정 일반,
개방이사 될 수 없는 사람은?,학칙/규정 일반,
추천위원회 구성 어떻게 돼?,학칙/규정 일반,
이사회 의결 정족수가 어떻게 돼?,학칙/규정 일반,
이사회 소집은 어떻게 해?,학칙/규정 일반,
이사회 회의록 공개 기한이 어떻게 돼?,학칙/규정 일반,
법인의 회계연도는 언제부터 언제까지야?,학칙/규정 일반,
기본재산과 보통재산의 차이가 뭐야?,학칙/규정 일반,
을지대학교 총장의 역할이 뭐야?,학칙/규정 일반,
총장 유고시 누가 대행해?,학칙/규정 일반,
부총장은 어떤 교원이 맡아?,학칙/규정 일반,
대학본부 조직이 어떻게 구성돼?,학칙/규정 일반,
처장은 어떤 직급이 맡아?,학칙/규정 일반,
대학평의원회가 뭐야?,학칙/규정 일반,
평의원회 구성원은 몇 명이야?,학칙/규정 일반,
평의원의 임기는 얼마야?,학칙/규정 일반,
평의원회에서 심의하는 사항이 뭐야?,학칙/규정 일반,
을지학원 수익사업 종류가 뭐야?,학칙/규정 일반,
부속병원은 어디에 있어?,학칙/규정 일반,
산학협력단이 뭐야?,학칙/규정 일반,
청렴의무에 대해 알려줘,학칙/규정 일반,
행동강령에 포함되는 사항이 뭐야?,학칙/규정 일반,
법인 해산하려면 어떻게 해야 돼?,학칙/규정 일반,
정관 시행세칙은 누가 정해?,학칙/규정 일반,
원격영상회의로 이사회 할 수 있어?,학칙/규정 일반,
이사장은 학교의 장을 겸할 수 있어?,학칙/규정 일반,
임원의 보수는 어떻게 정해?,학칙/규정 일반,
졸업인증제가 뭐야?,졸업 요건,
졸업인증제 대상이 누구야?,졸업 요건,
졸업인증제 필수 분야가 뭐야?,졸업 요건,
졸업인증제 선택 분야가 뭐야?,졸업 요건,
