question,category,sub_intent
졸업인증제가 뭐야?,졸업 요건,
졸업인증제 대상이 누구야?,졸업 요건,
졸업인증제 필수 분야가 뭐야?,졸업 요건,
졸업인증제 선택 분야가 뭐야?,졸업 요건,
심폐소생술 인증 안 하면 어떻게 돼?,졸업 요건,
사회봉사 안 하면 졸업할 수 있어?,졸업 요건,
외국어 인증 기준이 어떻게 돼?,졸업 요건,
토익 몇 점 이상이면 외국어 인증이 돼?,졸업 요건,
일본어로 외국어 인증할 수 있어?,졸업 요건,
중국어 인증 시험은 뭐가 있어?,졸업 요건,
한자 시험으로 인증 가능해?,졸업 요건,
오픽으로 외국어 인증 가능해?,졸업 요건,
교환학생 다녀오면 외국어 인증 되나?,졸업 요건,
국제교류팀 외국어 교육 수강하면 인증 돼?,졸업 요건,
정보처리 인증 자격증 뭐가 있어?,졸업 요건,
ITQ A등급이면 정보처리 인증이 돼?,졸업 요건,
MOS 자격증으로 인증 가능해?,졸업 요건,
컴퓨터 활용능력 몇 급이면 돼?,졸업 요건,
워드프로세서로 졸업인증 가능한가요?,졸업 요건,
ADsP로 정보처리 인증 가능해?,졸업 요건,
졸업인증제 심사는 언제 해?,졸업 요건,
졸업인증제 운영 주관부서가 어디야?,졸업 요건,
다전공 분야로 졸업인증 가능해?,졸업 요건,
다전공분야 운영 주관부서가 어디야?,졸업 요건,
의학과도 졸업인증제 대상이야?,졸업 요건,
편입생도 졸업인증제 해야 돼?,졸업 요건,
외국인 전형 입학생도 졸업인증제 해야 해?,졸업 요건,
장애학생도 졸업인증제 해야 되나요?,졸업 요건,
졸업인증제 시행 목표가 뭐야?,졸업 요건,
기초사무능력 자격증으로 인증 가능해?,졸업 요건,
졸업학점이 몇 학점이야?,졸업 요건,
졸업하려면 뭐 해야 돼?,졸업 요건,
심폐소생술 수업은 필수야?,졸업 요건,
사회봉사 교과목 어떻게 이수해?,졸업 요건,
졸업인증 못하면 졸업 못해?,졸업 요건,
장학금 종류가 뭐가 있어?,장학금,
성적 장학금 기준이 어떻게 돼?,장학금,
국가장학금 신청 어떻게 해?,장학금,
교내 장학금 신청 방법 알려줘,장학금,
장학금 유지 조건이 뭐야?,장학금,
근로장학금 신청할 수 있어?,장학금,
등록금 감면 제도가 있어?,장학금,
장학금 받으려면 학점이 몇 점 이상이어야 돼?,장학금,
복학생도 장학금 받을 수 있어?,장학금,
외국인 학생도 장학금 받을 수 있나요?,장학금,
장학금 신청 기간이 언제야?,장학금,
성적우수 장학금 대상자 기준 알려줘,장학금,
가계곤란 장학금 있어?,장학금,
장학금 중복 수혜 가능한가요?,장학금,
신입생 장학금 있어?,장학금,
봉사장학금은 어떻게 받아?,장학금,
장학금 반환해야 하는 경우가 있어?,장학금,
교외 장학금 종류가 뭐가 있어?,장학금,
대학원생도 장학금 받을 수 있어?,장학금,
재학생 장학금 기준이 뭐야?,장학금,
수강신청 기간이 언제야?,수강 신청,
수강신청 어떻게 해?,수강 신청,
수강 정정 기간이 언제야?,수강 신청,
수강 취소는 언제까지 가능해?,수강 신청,
한 학기에 최대 몇 학점까지 들을 수 있어?,수강 신청,
수강신청 사이트 주소가 뭐야?,수강 신청,
수강신청 시간이 어떻게 돼?,수강 신청,
