question,intent
이번에 복학한 빅데이터 인공지능 전공 학생인데 파이썬프로그래밍 과목이 없어졌어요. 대체 과목이 뭔가요?,대체 과목 안내
저 이번에 복학하는 빅데이터인공지능전공인데요 파이썬프로그래밍이(가) 사라졌던데 뭘 들어야 하나요?,대체 과목 안내
이번 학기에 복학한 빅인 전공 학생인데 파이썬프로그래밍 과목이 없어졌어요.,대체 과목 안내
군대 다녀와서 복학한 빅데이터인공지능전공 학생입니다. 파이썬프로그래밍 과목이 없어졌는데 어떡하죠?,대체 과목 안내
이번에 복학한 빅인 학생인데 파이썬프로그래밍 과목이 없어졌어요. 대체 인정되는 과목 알려주세요.,대체 과목 안내
이번에 복학한 빅데이터 인공지능 전공 학생인데 수강신청 하려니까 파이썬프로그래밍 과목이 없어졌어요.,대체 과목 안내
저 복학한 빅인 학생인데 파이썬프로그래밍 과목이 없어졌어요. 전필 학점 어떻게 채우나요?,대체 과목 안내
이번에 복학한 빅데이터인공지능전공 학생인데 파이썬프로그래밍 과목이 없어졌어요. 신규 과목으로 대체되나요?,대체 과목 안내
휴학하고 이번에 복학한 빅인 학생인데 파이썬프로그래밍 과목이 없어졌어요.,대체 과목 안내
이번에 복학한 빅데이터 인공지능 전공 학생인데 파이썬프로그래밍 과목이 없어졌어요. 데이터분석기초 들으면 되나요?,대체 과목 안내
이번에 복학한 빅데이터 인공지능 전공 학생인데 객체모델링 과목이 없어졌어요. 대체 과목이 뭔가요?,대체 과목 안내
저 이번에 복학하는 빅데이터인공지능전공인데요 객체모델링이(가) 사라졌던데 뭘 들어야 하나요?,대체 과목 안내
이번 학기에 복학한 빅인 전공 학생인데 객체모델링 과목이 없어졌어요.,대체 과목 안내
군대 다녀와서 복학한 빅데이터인공지능전공 학생입니다. 객체모델링 과목이 없어졌는데 어떡하죠?,대체 과목 안내
이번에 복학한 빅인 학생인데 객체모델링 과목이 없어졌어요. 대체 인정되는 과목 알려주세요.,대체 과목 안내
이번에 복학한 빅데이터 인공지능 전공 학생인데 수강신청 하려니까 객체모델링 과목이 없어졌어요.,대체 과목 안내
저 복학한 빅인 학생인데 객체모델링 과목이 없어졌어요. 전필 학점 어떻게 채우나요?,대체 과목 안내
이번에 복학한 빅데이터인공지능전공 학생인데 객체모델링 과목이 없어졌어요. 신규 과목으로 대체되나요?,대체 과목 안내
휴학하고 이번에 복학한 빅인 학생인데 객체모델링 과목이 없어졌어요.,대체 과목 안내
이번에 복학한 빅데이터 인공지능 전공 학생인데 객체모델링 과목이 없어졌어요. 프로그램기초 들으면 되나요?,대체 과목 안내
이번에 복학한 빅데이터 인공지능 전공 학생인데 U-healthcare개론 과목이 없어졌어요. 대체 과목이 뭔가요?,대체 과목 안내
저 이번에 복학하는 빅데이터인공지능전공인데요 U-healthcare개론이(가) 사라졌던데 뭘 들어야 하나요?,대체 과목 안내
이번 학기에 복학한 빅인 전공 학생인데 U-healthcare개론 과목이 없어졌어요.,대체 과목 안내
군대 다녀와서 복학한 빅데이터인공지능전공 학생입니다. U-healthcare개론 과목이 없어졌는데 어떡하죠?,대체 과목 안내
이번에 복학한 빅인 학생인데 U-healthcare개론 과목이 없어졌어요. 대체 인정되는 과목 알려주세요.,대체 과목 안내
이번에 복학한 빅데이터 인공지능 전공 학생인데 수강신청 하려니까 U-healthcare개론 과목이 없어졌어요.,대체 과목 안내
저 복학한 빅인 학생인데 U-healthcare개론 과목이 없어졌어요. 전필 학점 어떻게 채우나요?,대체 과목 안내
이번에 복학한 빅데이터인공지능전공 학생인데 U-healthcare개론 과목이 없어졌어요. 신규 과목으로 대체되나요?,대체 과목 안내
휴학하고 이번에 복학한 빅인 학생인데 U-healthcare개론 과목이 없어졌어요.,대체 과목 안내
이번에 복학한 빅데이터 인공지능 전공 학생인데 U-healthcare개론 과목이 없어졌어요. 클라우드컴퓨팅 들으면 되나요?,대체 과목 안내
이번에 복학한 빅데이터 인공지능 전공 학생인데 데이터분석실무 과목이 없어졌어요. 대체 과목이 뭔가요?,대체 과목 안내
저 이번에 복학하는 빅데이터인공지능전공인데요 데이터분석실무이(가) 사라졌던데 뭘 들어야 하나요?,대체 과목 안내
이번 학기에 복학한 빅인 전공 학생인데 데이터분석실무 과목이 없어졌어요.,대체 과목 안내
군대 다녀와서 복학한 빅데이터인공지능전공 학생입니다. 데이터분석실무 과목이 없어졌는데 어떡하죠?,대체 과목 안내
이번에 복학한 빅인 학생인데 데이터분석실무 과목이 없어졌어요. 대체 인정되는 과목 알려주세요.,대체 과목 안내
이번에 복학한 빅데이터 인공지능 전공 학생인데 수강신청 하려니까 데이터분석실무 과목이 없어졌어요.,대체 과목 안내
저 복학한 빅인 학생인데 데이터분석실무 과목이 없어졌어요. 전필 학점 어떻게 채우나요?,대체 과목 안내
이번에 복학한 빅데이터인공지능전공 학생인데 데이터분석실무 과목이 없어졌어요. 신규 과목으로 대체되나요?,대체 과목 안내
휴학하고 이번에 복학한 빅인 학생인데 데이터분석실무 과목이 없어졌어요.,대체 과목 안내
이번에 복학한 빅데이터 인공지능 전공 학생인데 데이터분석실무 과목이 없어졌어요. 데이터마이닝및응용실습 들으면 되나요?,대체 과목 안내
이번에 복학한 빅데이터 인공지능 전공 학생인데 데이터베이스설계및구축 과목이 없어졌어요. 대체 과목이 뭔가요?,대체 과목 안내
저 이번에 복학하는 빅데이터인공지능전공인데요 데이터베이스설계및구축이(가) 사라졌던데 뭘 들어야 하나요?,대체 과목 안내
이번 학기에 복학한 빅인 전공 학생인데 데이터베이스설계및구축 과목이 없어졌어요.,대체 과목 안내
군대 다녀와서 복학한 빅데이터인공지능전공 학생입니다. 데이터베이스설계및구축 과목이 없어졌는데 어떡하죠?,대체 과목 안내
이번에 복학한 빅인 학생인데 데이터베이스설계및구축 과목이 없어졌어요. 대체 인정되는 과목 알려주세요.,대체 과목 안내
이번에 복학한 빅데이터 인공지능 전공 학생인데 수강신청 하려니까 데이터베이스설계및구축 과목이 없어졌어요.,대체 과목 안내
저 복학한 빅인 학생인데 데이터베이스설계및구축 과목이 없어졌어요. 전필 학점 어떻게 채우나요?,대체 과목 안내
이번에 복학한 빅데이터인공지능전공 학생인데 데이터베이스설계및구축 과목이 없어졌어요. 신규 과목으로 대체되나요?,대체 과목 안내
휴학하고 이번에 복학한 빅인 학생인데 데이터베이스설계및구축 과목이 없어졌어요.,대체 과목 안내
이번에 복학한 빅데이터 인공지능 전공 학생인데 데이터베이스설계및구축 과목이 없어졌어요. 의료DB설계 들으면 되나요?,대체 과목 안내
이번에 복학한 빅데이터 인공지능 전공 학생인데 엣지컴퓨팅 과목이 없어졌어요. 대체 과목이 뭔가요?,대체 과목 안내
저 이번에 복학하는 빅데이터인공지능전공인데요 엣지컴퓨팅이(가) 사라졌던데 뭘 들어야 하나요?,대체 과목 안내
이번 학기에 복학한 빅인 전공 학생인데 엣지컴퓨팅 과목이 없어졌어요.,대체 과목 안내
군대 다녀와서 복학한 빅데이터인공지능전공 학생입니다. 엣지컴퓨팅 과목이 없어졌는데 어떡하죠?,대체 과목 안내
이번에 복학한 빅인 학생인데 엣지컴퓨팅 과목이 없어졌어요. 대체 인정되는 과목 알려주세요.,대체 과목 안내
이번에 복학한 빅데이터 인공지능 전공 학생인데 수강신청 하려니까 엣지컴퓨팅 과목이 없어졌어요.,대체 과목 안내
저 복학한 빅인 학생인데 엣지컴퓨팅 과목이 없어졌어요. 전필 학점 어떻게 채우나요?,대체 과목 안내
이번에 복학한 빅데이터인공지능전공 학생인데 엣지컴퓨팅 과목이 없어졌어요. 신규 과목으로 대체되나요?,대체 과목 안내
휴학하고 이번에 복학한 빅인 학생인데 엣지컴퓨팅 과목이 없어졌어요.,대체 과목 안내
이번에 복학한 빅데이터 인공지능 전공 학생인데 엣지컴퓨팅 과목이 없어졌어요. 클라우드컴퓨팅 들으면 되나요?,대체 과목 안내
이번에 복학한 빅데이터 인공지능 전공 학생인데 웹프로그래밍 과목이 없어졌어요. 대체 과목이 뭔가요?,대체 과목 안내
저 이번에 복학하는 빅데이터인공지능전공인데요 웹프로그래밍이(가) 사라졌던데 뭘 들어야 하나요?,대체 과목 안내
이번 학기에 복학한 빅인 전공 학생인데 웹프로그래밍 과목이 없어졌어요.,대체 과목 안내
군대 다녀와서 복학한 빅데이터인공지능전공 학생입니다. 웹프로그래밍 과목이 없어졌는데 어떡하죠?,대체 과목 안내
이번에 복학한 빅인 학생인데 웹프로그래밍 과목이 없어졌어요. 대체 인정되는 과목 알려주세요.,대체 과목 안내
이번에 복학한 빅데이터 인공지능 전공 학생인데 수강신청 하려니까 웹프로그래밍 과목이 없어졌어요.,대체 과목 안내
저 복학한 빅인 학생인데 웹프로그래밍 과목이 없어졌어요. 전필 학점 어떻게 채우나요?,대체 과목 안내
이번에 복학한 빅데이터인공지능전공 학생인데 웹프로그래밍 과목이 없어졌어요. 신규 과목으로 대체되나요?,대체 과목 안내
휴학하고 이번에 복학한 빅인 학생인데 웹프로그래밍 과목이 없어졌어요.,대체 과목 안내
이번에 복학한 빅데이터 인공지능 전공 학생인데 웹프로그래밍 과목이 없어졌어요. 프로그램기초 들으면 되나요?,대체 과목 안내
이번에 복학한 빅데이터 인공지능 전공 학생인데 운영체제 과목이 없어졌어요. 대체 과목이 뭔가요?,대체 과목 안내
저 이번에 복학하는 빅데이터인공지능전공인데요 운영체제이(가) 사라졌던데 뭘 들어야 하나요?,대체 과목 안내
이번 학기에 복학한 빅인 전공 학생인데 운영체제 과목이 없어졌어요.,대체 과목 안내
군대 다녀와서 복학한 빅데이터인공지능전공 학생입니다. 운영체제 과목이 없어졌는데 어떡하죠?,대체 과목 안내
이번에 복학한 빅인 학생인데 운영체제 과목이 없어졌어요. 대체 인정되는 과목 알려주세요.,대체 과목 안내
이번에 복학한 빅데이터 인공지능 전공 학생인데 수강신청 하려니까 운영체제 과목이 없어졌어요.,대체 과목 안내
저 복학한 빅인 학생인데 운영체제 과목이 없어졌어요. 전필 학점 어떻게 채우나요?,대체 과목 안내
이번에 복학한 빅데이터인공지능전공 학생인데 운영체제 과목이 없어졌어요. 신규 과목으로 대체되나요?,대체 과목 안내
휴학하고 이번에 복학한 빅인 학생인데 운영체제 과목이 없어졌어요.,대체 과목 안내
이번에 복학한 빅데이터 인공지능 전공 학생인데 운영체제 과목이 없어졌어요. 클라우드컴퓨팅 들으면 되나요?,대체 과목 안내
