question,intent
저 의아 22학번인데 1학년 1학기 전필 과목 리스트 알려주세요.,커리큘럼 조회
의료IT 22교육과정 1학년 전선 과목 전체 다 알려줘.,커리큘럼 조회
의아 22년도 커리큘럼에서 2학년 1학기 전공필수 뭐뭐 있어?,커리큘럼 조회
의료IT학과 22학번 2학년 2학기 전필 과목명 싹 다 정리해줘.,커리큘럼 조회
의아 22학번 3학년 1학기 전선 과목 어떤 거 열리는지 볼 수 있을까?,커리큘럼 조회
의료IT 22교육과정 3학년 2학기 전공 시간표 좀 짜주세요.,커리큘럼 조회
의아 22학번 4학년 1학기 때 캡스톤 말고 전필 또 뭐 있죠?,커리큘럼 조회
의료IT 22년도 기준 4학년 2학기 전선 과목 리스트 뽑아줘.,커리큘럼 조회
의아 22학번 복학생인데 2학년 전필 뭐 들어야 졸업 가능한가요?,커리큘럼 조회
의료IT학과 22학번 1학년 교필이랑 전필 뭐뭐 있나요?,커리큘럼 조회
빅융 22학번 1학년 1학기 전공필수 과목 리스트 줘.,커리큘럼 조회
빅데이터의료융합 22교육과정 1학년 전선 과목 목록 좀 알려줘.,커리큘럼 조회
빅융 22년도 2학년 1학기 전공기초 과목명 다 알려주세요.,커리큘럼 조회
빅데이터의료융합 22학번 2학년 2학기 전필 뭐뭐 들어야 돼?,커리큘럼 조회
빅융 22학번 3학년 1학기 전필 리스트 알려줘.,커리큘럼 조회
빅데이터의료융합 22년도 커리큘럼 3학년 1학기 전선 다 알려줘.,커리큘럼 조회
빅융 22년도 3학년 2학기 전공선택 전체 목록 좀 뽑아줘.,커리큘럼 조회
빅데이터의료융합 22교육과정 4학년 1학기 전공필수 알려주세요.,커리큘럼 조회
빅융 22학번 4학년 2학기 커리큘럼에 졸업논문 외에 무슨 과목 있어?,커리큘럼 조회
빅융 22학번 복학생인데 2학년 2학기 필수 과목 뭐가 있어?,커리큘럼 조회
의아 22교육과정에 있는 IT기획과경영 이거 몇 학점짜리야?,과목 상세 정보
의료IT 22학번 헬스프로그래밍 이거 전필이야 전선이야?,과목 상세 정보
의아 22년도 보건통계학 성적 평가방식이 절대평가(GRADE)야?,과목 상세 정보
의료IT학과 22년도 C/S기초 실습 시간 포함되어 있어?,과목 상세 정보
의아 22학번 자료구조 교과목 번호 좀 알려줘.,과목 상세 정보
의료IT 22교육과정 디지털공학 몇 학년 몇 학기 과목이야?,과목 상세 정보
의아 22학번 아이디어창업및응용 3학점짜리 과목인지 확인해 줄래?,과목 상세 정보
의료IT 22년도 데이터통신 성적 어떻게 주는지 알려주세요.,과목 상세 정보
의아 22학번 조사방법론 몇 학점 주는지 알려줘.,과목 상세 정보
의료IT 22교육과정 기계학습 이론 시간 몇 시간이야?,과목 상세 정보
빅융 22학번 데이터사이언스의이해 성적 평가방식이 절대평가(GRADE)야?,과목 상세 정보
빅데이터의료융합 22교육과정 빅데이터기초 성적방식이 P/F인가요?,과목 상세 정보
빅융 22년도 모바일컴퓨팅 무슨 학기에 열려요?,과목 상세 정보
빅데이터의료융합 22학번 클라우드컴퓨팅 이거 이론만 3시간 해?,과목 상세 정보
빅융 22학번 웹프로그래밍 실습 있는 과목이야?,과목 상세 정보
빅데이터의료융합 22년도 논리회로 수강신청하려는데 전공선택 맞아?,과목 상세 정보
빅융 22년도 탐색적데이터분석 전공 심화 과목인가요?,과목 상세 정보
빅데이터의료융합 22교육과정 인공지능수학 3학점인지 확인해줘.,과목 상세 정보
빅융 22학번 정밀의료 과목 1학기에 열려 2학기에 열려?,과목 상세 정보
빅데이터의료융합 22년도 AI시스템활용 성적 어떻게 나와?,과목 상세 정보
